DATE,LREM64TTUSM156S
2000-01-01,74.0903083333333342
2001-01-01,73.1124608333333317
2002-01-01,71.9143100000000008
2003-01-01,71.2142216666666667
2004-01-01,71.2141124999999992
2005-01-01,71.5242616666666692
2006-01-01,71.9898600000000025
2007-01-01,71.7724424999999992
2008-01-01,70.8548166666666692
2009-01-01,67.6161991666666675
2010-01-01,66.6695708333333358
2011-01-01,66.6301249999999992
2012-01-01,67.1201308333333350
2013-01-01,67.3472183333333325
2014-01-01,68.1415300000000008
2015-01-01,68.7044924999999992
2016-01-01,69.3332191666666667
2017-01-01,70.1052124999999992
2018-01-01,70.7132366666666667
2019-01-01,71.3486566666666642
2020-01-01,67.0078133333333312
