DATE,LREM64TTNOQ156S
2000-01-01,77.5042100000000025
2001-01-01,77.1806524999999975
2002-01-01,76.8281475000000000
2003-01-01,75.4737624999999925
2004-01-01,75.1210175000000050
2005-01-01,74.8309400000000000
2006-01-01,75.3596675000000050
2007-01-01,76.8000375000000050
2008-01-01,77.9577550000000025
2009-01-01,76.4121025000000025
2010-01-01,75.3084250000000000
2011-01-01,75.2831775000000025
2012-01-01,75.7418199999999975
2013-01-01,75.4145925000000000
2014-01-01,75.2233950000000000
2015-01-01,74.7839800000000000
2016-01-01,74.2903900000000000
2017-01-01,74.0115499999999975
2018-01-01,74.8147650000000000
2019-01-01,75.2987825000000000
2020-01-01,74.6661025000000025
