DATE,LREM64TTDKQ156S
2000-01-01,76.2581575000000025
2001-01-01,76.1649049999999975
2002-01-01,75.8759325000000000
2003-01-01,75.1375425000000000
2004-01-01,75.6731674999999950
2005-01-01,75.8961674999999975
2006-01-01,77.3721050000000025
2007-01-01,77.0150850000000000
2008-01-01,76.3374025000000000
2009-01-01,73.5238424999999975
2010-01-01,71.8192300000000050
2011-01-01,71.6218000000000000
2012-01-01,71.0396349999999975
2013-01-01,70.7454125000000000
2014-01-01,71.1125749999999975
2015-01-01,71.9799500000000025
2016-01-01,72.6977425000000025
2017-01-01,73.2387175000000000
2018-01-01,74.1294525000000000
2019-01-01,75.0218850000000000
2020-01-01,74.4036374999999950
